,C9,I9,C11,I11,C16,I16,I1,I2,I3,L1,L2,L3,B1,B2,B3
"MSTRG.30976",7.959034,9.82391,6.888094,7.808584,15.495259,16.771271,12.293257,12.859962,9.474898,51.954472,64.37751,52.203602,6.547085,9.927906,8.079677
"MSTRG.30980",0,0,0,0,0,0,0,0,0,10.728954,10.711737,12.424435,0,0,0
"MSTRG.30983",64.402593,80.307394,79.412347,80.338992,71.415069,72.286638,64.863208,60.788196,50.251716,48.714969,48.268644,45.27494,62.121825,90.40864,100.785627
"MSTRG.30984",12.472834,12.92754,14.106407,16.799877,21.235842,22.948135,9.595243,10.986133,8.744794,1.968204,1.99408,1.815351,30.753626,38.395027,38.753658
"MSTRG.30985",0.79546,0.609882,1.186405,1.2103,0.761595,0.497067,0.26554,0.598053,0.367053,0.046505,0,0.059355,1.60867,2.107811,2.378709
"MSTRG.30986",8.440417,8.751423,5.509363,7.035591,6.703001,7.117484,1.872534,3.370694,2.179595,3.377122,4.296179,3.264121,9.615727,15.132683,15.082611
"MSTRG.30987",21.379168,23.776382,18.72522,20.987056,25.750038,27.371611,19.853015,23.846054,18.945831,10.030207,10.865011,9.525739,14.908899,16.87676,21.668057
"MSTRG.30988",1.501764,0,1.236839,0,0,0,9.782891,20.197218,8.289087,0.386998,0.417462,0.329066,0,0,0
"MSTRG.30989",1.282402,1.420422,0.740159,1.317444,0.572031,3.761853,0.112872,0.245324,0,0.073746,0.193145,0.042711,0.967132,0.747065,1.257015
"MSTRG.3099",2.615642,2.309579,3.298632,4.108003,1.271378,1.17246,1.518179,1.52915,1.600156,130.248341,131.421034,95.658691,0.487671,0.324959,0.280042
"MSTRG.30990",22.556259,25.110905,21.832835,24.818798,19.015569,21.017627,10.978268,18.972795,10.974035,6.327579,6.481116,5.372563,5.398067,6.147941,7.399408
"MSTRG.30991",1.116082,1.549301,1.175809,1.565341,1.380425,1.397649,4.040709,2.734144,2.174454,1.41243,0.930605,0.757902,0.689524,0,1.141694
"MSTRG.30993",24.073925,32.319748,26.164566,29.715109,26.880592,28.26951,18.886938,28.83469,18.046516,11.796913,11.900735,11.326581,17.479338,18.003105,22.602116
"MSTRG.30994",1.415421,2.033298,0.667754,0.73994,1.596129,1.769305,0.325894,1.142479,0.517852,1.894857,2.685378,1.786851,12.043343,25.20215,16.727699
"MSTRG.30995",98.705434,101.729279,111.747023,107.502525,90.920361,93.063126,78.101299,65.266739,60.340767,91.026856,110.776951,79.25674,84.873474,123.560981,149.704315
"MSTRG.30996",29.318052,32.408981,33.488056,34.131138,23.748817,25.829283,6.705248,11.052938,5.453212,5.391503,6.583467,6.23671,7.099436,5.658742,9.167353
"MSTRG.30997",5.852571,7.7002,7.431458,7.505096,5.219544,5.898784,2.069915,3.540534,1.415646,1.263674,1.074397,1.428803,0.939951,0.730595,0.935741
"MSTRG.30998",1.983165,1.813138,2.721028,2.431253,1.069927,1.24709,1.850903,4.407493,1.951397,0.331496,0.524722,0.368847,0.701181,0.628682,0.513921
"MSTRG.30999",1.374077,0.834588,0.372115,0.830827,1.365553,2.797335,0.390315,1.742885,0.710343,0.494113,0.420584,0.815294,18.094961,14.433543,14.937018
"MSTRG.31",18.832943,23.72964,15.061003,17.06652,19.86815,21.314192,11.612165,19.144079,13.072075,10.357384,10.240269,7.915304,9.255144,9.520829,12.354583
"MSTRG.310",0.364958,0.397781,0.322262,0.288839,0.242208,0.282016,0.134207,0.146054,0.072312,0.152009,0.128895,0.100708,1.522205,1.879896,2.782204
"MSTRG.3100",1.428975,0.853074,0.733737,0.413897,0.503448,0.783138,0,0.481658,0.267149,0.121525,0,0.085283,2.705489,7.633288,4.097077
"MSTRG.31000",1.2318,1.36662,1.091987,1.249224,2.034103,2.132645,0.501417,0.883599,0.567762,0.218733,0.128819,0.092329,17.462397,18.112683,11.991518
"MSTRG.31003",8.882292,10.132832,9.09039,7.986309,8.535861,9.069305,5.029142,7.464812,4.336723,6.848124,7.079042,6.395878,5.855015,6.518192,7.880199
"MSTRG.31006",1.88882,2.000854,1.28132,1.612181,3.416951,4.496223,0.161986,0.393419,0.234779,0,0,0,0,0.088732,0.03762
"MSTRG.3101",2.677468,2.384736,2.183095,2.553571,2.584465,2.675044,0.519411,0.713814,0.477205,0.236639,0.326008,0.247321,2.120504,1.592196,1.715437
"MSTRG.31010",0.609675,0.604789,0.323752,0.735757,0.661952,0.799151,0.14698,0.186144,0.19249,0.340241,0.274353,0.366103,3.073686,5.95381,4.83066
"MSTRG.31013",0.18459,0.052324,0.040441,0.023183,0.179261,0.209143,0.041711,0.019794,0.030991,0.012816,0.04039,0.023915,3.500413,3.527015,1.771414
"MSTRG.31018",8.076528,11.900846,6.269138,8.019213,9.871366,11.154152,5.700165,11.349925,6.080632,0.053353,0.048962,0.007313,9.010975,5.075395,12.286696
"MSTRG.3102",36.973234,36.318389,29.669517,38.351309,27.73223,26.558013,17.386863,24.076403,14.938527,9.317491,8.965029,8.115992,12.371233,15.578187,18.090168
"MSTRG.31021",3.937648,5.284627,3.584816,4.5425,6.078093,8.04361,1.900096,4.367089,1.771176,2.164102,1.963148,1.591101,5.883707,8.306639,8.056761
"MSTRG.31024",0.172918,0.367142,0.142684,0.128973,0.41689,0.41002,0.02176,0.038257,0.035489,0,0.011935,0.008272,1.109138,1.122626,1.765854
"MSTRG.31028",0.262258,0.280166,0.148775,0.197733,0.260361,0.455742,0.285782,0.463865,0.235729,0.390972,0.188407,0.479652,1.17366,1.165558,1.405995
"MSTRG.3103",42.023174,47.586639,42.101749,45.252125,35.664585,36.837429,14.595961,22.348307,11.796336,16.434763,15.132835,15.087227,20.018087,18.292946,22.917461
"MSTRG.31031",0.342427,0.135527,0.520831,0.45155,0.802275,0.830689,0.236935,0.104984,0.409306,0,0.029314,0.014828,6.243187,6.106426,8.577652
"MSTRG.31032",1.904598,2.610941,2.704961,3.341635,4.739769,6.114885,2.9167,6.409485,2.598262,4.410905,4.500241,3.950953,14.473194,11.249549,24.312635
