Numero de planta;Presencia T;Lectina;Dias de 1embra a emergencia ;Dias de emergencia a panojamiento ;N macollos 60 dias post emergencia ;N paniculas  60 dias post emergencia ;N macollos 90 dias post emergencia ;N macollos 120 dias post emergencia ;N paniculas 120 dias post emergencia ;PANOJA 1 Largo hoja bandera (mm);PANOJA 1 Ancho hoja bandera  (mm);PANOJA 2 Largo hoja bandera (mm);PANOJA 2 Ancho hoja bandera  (mm);PANOJA 3 Largo hoja bandera  (mm);PANOJA 3 Ancho hoja bandera (mm);N macollos 140 dias post emergencia;N paniculas 140 dias post emergencia; Diametro mata (cm) 140 dias post emergencia ; Altura de planta (cm) 140 dias post emergencia ;PANOJA 1 Longitud (mm);PANOJA 1 Tipo ;PANOJA 1 Po1cion ;PANOJA 1 Exercion ;PANOJA 1 N semillas llenas;PANOJA 1 N semillas vanas ;PANOJA 2 Longitud (mm);PANOJA 2 Tipo ;PANOJA 2 Po1cion ;PANOJA 2 Exercion ;PANOJA 2 N semillas llenas;PANOJA 2 N semillas vanas ;PANOJA 3 Longitud (mm);PANOJA 3 Tipo ;PANOJA 3 Po1cion ;PANOJA 3 Exercion ;PANOJA 3 N semillas llenas;PANOJA 3 N semillas vanas ;N macollos 180 dias post emergencia;N paniculas cosechadas totales ;Dias de emergencia a madurez de cosecha;Trillabilidad ;Cantidad de Gras pesados ;Peso de 100 gras (g);Peso total de gras por planta (g);N gras por planta ;TIPO
49;1; ;6;81; ;0;15;23;12;183;9;246;13;178;9;39;18;14.1;56.8;72;5;1;0;10;12;83;1;1;0;54;9;80;5;1;0;17;15;35;15;239;0;100;0.49;2.98;608;6
50;1; ;6;86; ;0;5;5;4;13;9;305;11;139;10;14;4;9.9;34.3;60;5;1;0;11;4;98;5;2;0;50;17;62;5;1;0;2;4;17;12;242;0;100;0.88;2.3;261;2
51;1;1;6;91; ;0;6;11;5;125;8;135;9; ; ;22;6;9.9;31.3;44;5;1;0;4;5;55;5;1;0;10;5;0;0;0;0;0;0;31;18;242;1;100;0.69;1.79;259;2
52;1;1;6; ; ;0;4;13;5;174;9;156;7;116;9;26;6;10.9;36.8;55;5;1;0;6;14;62;5;1;0;2;10;50;5;1;0;9;6;36;18;242;0;100;0.66;1.51;229;2
53;0;1;6; ;4;3;4;19;7;192;9;182;10;165;9;21;12;10.4;66.1;107;5;1;1;28;0;68;5;1;1;5;1;121;5;2;1;14;0;23;36;266;1;100;1.54;13.18;856;8
54;0;1;6; ;4;1;5;12;5;187;11;167;9;173;10;15;8;13;73.9;101;5;2;0;30;0;109;5;1;1;16;0;101;5;1;1;16;0;22;34;266;2;100;1.2;12.19;1016;10
55;0;1;6; ;2;1;6;16;7;309;12;228;10;215;11;20;11;12;66;123;5;2;1;25;0;131;9;2;1;30;0;132;5;2;1;46;0;29;48;266;2;100;1.37;18.72;1366;10
56;0;1;6; ;6;2;7;20;11;254;14;282;12;195;10;22;18;12.2;74.4;139;5;2;1;64;0;127;5;2;1;46;0;110;5;2;1;35;0;38;40;256;1;100;1.96;16.61;847;8
57;0;1;6; ;2;1;5;8;6;192;10;255;9;293;9;16;10;8.2;61.9;115;5;2;1;33;0;115;5;1;1;37;0;121;5;1;1;15;0;22;51;266;2;100;1.6;19.75;1234;10
58;0;1;6; ;3;2;8;14;9;217;11;160;9;239;13;25;13;11.3;70.7;126;5;1;1;16;0;90;5;2;1;14;0;121;5;2;1;43;0;31;44;253;1;100;1.83;11.36;621;6
59;0;1;6; ;1;2;4;10;6;286;11;228;8;232;11;13;11;9.2;79.9;116;5;2;1;37;0;118;5;2;1;26;0;108;5;1;1;20;0;18;36;266;2;100;1.54;16.95;1101;10
60;0;1;6; ; ;0;3;4;4;170;10;181;10;133;8;4;6;6.4;46.1;106;5;2;1;14;0;96;5;2;1;21;0;65;5;1;0;7;0;4;10;266;2;100;1.18;2.31;196;1
61;0;1;6; ;6;1;7;14;6;291;10;225;9;356;13;29;15;11.6;80.5;119;5;1;1;35;0;122;5;1;1;25;0;150;5;1;1;55;0;28;39;266;2;100;1.6;19.83;1239;10
62;0;1;6; ;3;1;5;24;10;296;13;237;10;222;10;22;16;13.9;74.7;142;5;2;1;73;0;99;5;1;1;18;0;104;5;1;1;21;0;28;42;266;2;100;1.44;16.61;1153;10
63;0;1;6; ;4;1;6;15;7;309;13;199;10;225;12;19;14;10.5;76.4;154;5;2;1;60;1;100;5;2;1;23;0;130;5;2;1;50;5;24;28;256;1;100;2;9.08;454;4
64;0;1;6; ; ;0;2;2;3;221;11;161;10;251;11;5;3;5.5;62;109;5;2;1;32;0;82;5;2;1;15;2;149;5;2;1;53;0;5;12;253;2;100;2.02;8.03;398;3
65;0;1;6; ;1;1;1;2;2;256;10;229;11;0;0;2;3;9.8;61.5;121;5;2;1;47;8;110;5;2;1;25;7;;;;;;;2;6;253;1;100;1.88;2.96;157;1
66;0;1;6; ; ;0;2;2;3;209;9;293;12;206;10;5;4;4.6;67.6;108;5;2;1;23;0;137;5;2;1;49;0;40;5;1;0;5;0;9;19;253;2;100;1.81;5.11;282;2
67;0;1;6; ;1;1;2;3;2;304;10; ;10;0;0;4;2;5.3;56.6;118;5;2;1;27;0;141;5;2;1;43;0;;;;;;;5;14;266;1;100;1.13;4.92;435;4
68;0;1;6;89; ;0;1;2;1;291;11;0;0;0;0;3;1;4.3;55.9;120;5;2;1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;253;2;80;1.66;1.66;80;0
69;0;1;6; ; ;0;2;5;4;203;11;245;12;304;10;8;7;6.1;70.8;115;5;2;1;50;0;140;5;2;1;47;0;142;5;2;1;41;0;10;17;253;2;100;1.81;6.33;350;3
70;0;1;6; ; ;0;3;5;3;233;10;310;10;271;10;6;5;6;66.9;129;5;2;1;23;0;125;5;1;1;33;0;123;5;2;1;51;0;7;16;266;2;100;1.25;5.01;401;4
71;0;1;6; ; ;0;5;5;4;216;10;238;9;162;8;6;6;6.6;49.8;97;5;1;1;32;0;134;5;2;1;41;0;78;5;2;1;9;0;10;18;266;1;100;1.65;9.05;548;5
